project_name,lines_code,num_imports,imports,lines_comments,num_comments_words,num_functions,num_classes,num_tests,num_asserts,num_logic,num_loops,project_quarter
SP21_C00_021,148,4,"['random', 'my_module.classes', 'sys', 'my_module.functions']",202,973,14,1,10,22,7,10,SP21
SP21_C00_075,117,4,"['random', 'time', 'sys', 'my_module.functions']",90,608,4,0,4,8,14,5,SP21
SP21_C00_081,108,4,"['sys', 'my_module.functions', 'my_module.functions', 'my_module.functions']",63,518,3,0,3,8,2,2,SP21
SP21_C00_086,42,5,"['random', 'string', 'base64', 'sys', 'my_module.functions']",27,212,3,0,2,4,1,2,SP21
SP21_C00_072,134,2,"['sys', 'my_module.functions']",26,335,3,0,3,9,12,0,SP21
SP21_C00_044,114,6,"['random', 'time', 'numpy', 'enchant', 'sys', 'my_module.functions']",105,418,7,0,4,16,9,4,SP21
SP21_C00_043,37,3,"['sys', 'my_module.functions', 'my_module.classes']",44,204,4,1,2,6,3,1,SP21
SP21_C00_088,83,2,"['sys', 'my_module.functions']",8,57,10,1,3,6,1,1,SP21
SP21_C00_061,140,3,"['random', 'sys', 'my_module.functions']",134,861,10,6,3,6,9,3,SP21
SP21_C00_059,115,3,"['sys', 'my_module.functions', 'random']",11,84,9,1,2,2,0,2,SP21
SP21_C00_092,47,2,"['sys', 'my_module.functions']",54,228,4,1,3,5,2,2,SP21
SP21_C00_066,147,6,"['random', 'pandas', 'numpy', 'pandas', 'sys', 'my_module.functions']",137,735,13,2,8,19,13,3,SP21
SP21_C00_050,107,2,"['sys', 'functions']",26,192,14,0,2,2,10,0,SP21
SP21_C00_068,107,3,"['sys', 'my_module.functions', 'cryptMethods']",103,539,8,0,3,7,0,0,SP21
SP21_C00_057,53,6,"['cv2', 'pyzbar.pyzbar', 'time', 'webbrowser', 'sys', 'my_module.functions']",64,450,5,1,3,5,5,1,SP21
SP21_C00_003,64,0,[],17,221,4,1,4,8,8,0,SP21
SP21_C00_004,22,2,"['sys', 'my_module.functions']",26,204,4,1,3,6,1,1,SP21
WI21_B00_008,127,8,"['string', 'random', 'random', 'random', 'random', 'random', 'sys', 'my_module.functions']",42,188,12,0,11,31,10,7,WI21
SP21_C00_032,110,1,['random'],40,384,3,0,3,10,5,3,SP21
WI21_B00_001,35,0,[],41,252,4,0,2,5,5,1,WI21
WI21_B00_006,66,1,['pandas'],76,465,7,1,3,14,6,0,WI21
SP21_C00_035,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_069,44,2,"['sys', 'my_module.functions']",13,104,3,0,2,2,3,0,SP21
SP21_C00_056,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_051,57,0,[],12,102,3,0,3,3,12,1,SP21
SP21_C00_058,63,4,"['math', 'classes', 'sys', 'my_module.functions']",88,472,9,1,4,7,0,5,SP21
SP21_C00_067,40,5,"['my_module.lists', 'my_module.lists', 'my_module.classes', 'sys', 'my_module.functions']",35,149,5,1,2,2,1,2,SP21
SP21_C00_093,80,3,"['random', 'sys', 'my_module.functions']",34,302,3,1,3,10,3,1,SP21
SP21_C00_094,41,2,"['sys', 'my_module.functions']",11,77,2,0,2,4,7,0,SP21
SP21_C00_060,75,3,"['random', 'Deck', 'random']",25,107,5,0,3,9,5,5,SP21
WI21_B00_007,149,3,"['sys', 'sys', 'my_module.functions']",48,239,4,0,4,12,10,0,WI21
SP21_C00_034,66,5,"['string', 'random', 'time', 'sys', 'my_module.functions']",9,55,8,0,10,31,7,1,SP21
SP21_C00_033,233,5,"['string', 'random', 'my_module.responses', 'sys', 'my_module.functions']",184,997,15,0,14,32,36,6,SP21
SP21_C00_005,375,4,"['time', 'threading', 'sys', 'my_module.functions']",62,708,18,0,5,5,11,0,SP21
WI21_B00_009,109,1,['string'],133,785,10,0,5,21,10,1,WI21
SP21_C00_002,100,3,"['random', 'sys', 'time']",66,357,6,1,5,12,2,3,SP21
